loc_id,pm25_sensor_id,page1_rows,min_date,max_date,status
146,1304692,1000,2021-04-30,2024-06-01,ok
148,232,1000,2016-01-30,2019-02-14,ok
152,235,1000,2016-01-30,2019-03-17,ok
153,1927060,1000,2022-05-12,2025-10-06,ok
154,246,1000,2016-02-02,2019-03-25,ok
155,249,1000,2016-02-06,2019-05-19,ok
157,254,1000,2016-01-30,2019-03-03,ok
158,257,1000,2016-01-30,2019-04-03,ok
159,28890,1000,2018-04-16,2021-03-30,ok
141,261,1000,2016-01-30,2019-03-17,ok
147,228,1000,2016-02-01,2019-05-17,ok
223757,1296138,782,2018-09-28,2020-11-30,ok
223699,1295945,778,2018-10-04,2020-11-30,ok
223710,1295981,778,2018-10-04,2020-11-30,ok
223691,1295916,771,2018-10-11,2020-11-30,ok
223714,1295993,766,2018-10-16,2020-11-30,ok
223746,1296101,764,2018-10-18,2020-11-30,ok
223713,1295989,756,2018-10-16,2020-11-30,ok
223707,1295972,751,2018-10-23,2020-11-30,ok
223704,1295961,744,2018-10-17,2020-11-30,ok
223747,1296105,743,2018-10-05,2020-11-20,ok
223748,1296109,741,2018-10-09,2020-11-30,ok
223729,1296047,740,2018-10-16,2020-11-30,ok
223718,1296008,733,2018-10-10,2020-11-30,ok
223717,1296004,729,2018-10-16,2020-11-28,ok
