month,mean_pm25,median_pm25,sd_pm25,iqr_pm25,n_days
Jan,12.376713569906565,9.130625,8.86380585174596,8.060625000000002,270
Feb,11.903556567287785,8.426980676328501,8.598336662765474,8.133737373737375,250
Mar,13.302468930891127,9.599565217391303,10.401467707865514,9.646086956521739,285
Apr,12.188804218070029,9.293888888888889,8.58623941746379,8.016174516908212,286
May,10.266431826729674,8.73058695652174,5.670424911991443,6.115725296442689,308
Jun,8.592425354270622,7.55,3.7119015659454813,4.333392857142858,299
Jul,7.15532152853516,6.4138636363636365,3.242725676333672,3.1293280632411076,292
Aug,7.81242980469098,6.5395,4.211692777749653,3.046964285714286,298
Sep,8.669861428445303,7.000454545454545,5.313989854756684,4.062329545454547,291
Oct,8.610352308706045,7.426,4.331561499512788,3.7651383399209477,309
Nov,11.65348846231741,9.096666666666668,7.719240660238572,6.589082125603866,285
Dec,10.674799461327183,8.068505434782608,7.386954435205975,6.706163949275362,298
